Date,Open,High,Low,Close,Adj Close,Volume
2020-07-19,0.018145,0.018321,0.017372,0.017993,0.017993,151647094
2020-07-20,0.017987,0.018033,0.016010,0.016169,0.016169,195135271
2020-07-21,0.016091,0.018232,0.015935,0.017489,0.017489,229307469
2020-07-22,0.017483,0.017754,0.017075,0.017493,0.017493,146814817
2020-07-23,0.017473,0.017840,0.017195,0.017346,0.017346,135914358
2020-07-24,0.017346,0.017382,0.016790,0.016982,0.016982,117939445
2020-07-25,0.017001,0.018316,0.016921,0.018155,0.018155,166982753
2020-07-26,0.018156,0.018388,0.017315,0.017546,0.017546,156521653
2020-07-27,0.017544,0.017603,0.015091,0.015625,0.015625,251175269
2020-07-28,0.015628,0.016625,0.015521,0.015959,0.015959,182399567
2020-07-29,0.015975,0.016382,0.015417,0.015621,0.015621,148799673
2020-07-30,0.015627,0.017710,0.015379,0.017338,0.017338,202976912
2020-07-31,0.017337,0.018376,0.016812,0.017262,0.017262,237077794
2020-08-01,0.017262,0.017487,0.016794,0.017255,0.017255,164027377
2020-08-02,0.017255,0.017325,0.015706,0.016145,0.016145,173373842
2020-08-03,0.016171,0.016812,0.016032,0.016711,0.016711,124788268
2020-08-04,0.016711,0.018863,0.016613,0.018667,0.018667,209356869
2020-08-05,0.018715,0.019379,0.017951,0.018853,0.018853,225977737
2020-08-06,0.018858,0.020263,0.018614,0.019735,0.019735,238364073
2020-08-07,0.019725,0.020181,0.018112,0.018709,0.018709,209746500
2020-08-08,0.018706,0.021101,0.018517,0.020749,0.020749,212262877
2020-08-09,0.020781,0.022917,0.020331,0.021862,0.021862,294504716
2020-08-10,0.021940,0.022126,0.020193,0.021468,0.021468,286262732
2020-08-11,0.021483,0.021767,0.019359,0.019984,0.019984,226868021
2020-08-12,0.019994,0.021055,0.018627,0.020577,0.020577,211350652
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.019600,0.020084,0.019117,0.019797,0.019797,169575851
2020-08-17,0.019797,0.021208,0.019466,0.020009,0.020009,225779863
2020-08-18,0.019999,0.020231,0.018806,0.019134,0.019134,202086121
2020-08-19,0.019132,0.019459,0.017306,0.017879,0.017879,212782549
